table,column,n_missing
TRIPS,ehail_fee,83758
TRIPS,store_and_fwd_flag,32539
TRIPS,passenger_count,32539
TRIPS,congestion_surcharge,32539
LOCATIONS,Borough,2
LOCATIONS,Zone,2
LOCATIONS,service_zone,2
TRIPS,UniqueID,0
TRIPS,VendorID,0
TRIPS,RatecodeID,0
TRIPS,trip_distance,0
TRIPS,fare_amount,0
TRIPS,extra,0
TRIPS,mta_tax,0
TRIPS,tip_amount,0
TRIPS,tolls_amount,0
TRIPS,improvement_surcharge,0
TRIPS,total_amount,0
TRIPS,PaymentType,0
TRIPS,trip_type,0
TIMES,UniqueID,0
TIMES,trip_type,0
TIMES,time,0
TIMES,location_codeID,0
LOCATIONS,LocationID,0
